id,gender,math,daysabs,prog
1001,male,63,4,Academic
1002,male,27,4,Academic
1003,female,20,2,Academic
1004,female,16,3,Academic
1005,female,2,3,Academic
1006,female,71,13,Academic
1007,female,63,11,Academic
1008,male,3,7,Academic
1009,male,51,10,Academic
1010,male,49,9,Vocational
1011,female,31,4,Vocational
1012,male,22,5,Academic
1013,female,73,5,Academic
1014,female,77,6,General
1015,male,10,1,Vocational
1016,male,89,0,Academic
1017,female,34,1,Academic
1018,female,35,0,Academic
1019,male,77,5,General
1020,male,4,24,Academic
1021,female,21,2,Academic
1022,male,61,0,Academic
1023,male,41,1,Academic
1024,male,63,0,Academic
1025,female,19,8,Academic
1026,male,55,6,General
1027,male,6,7,Academic
1028,female,21,0,Academic
1029,male,70,2,Academic
1030,male,79,3,General
1031,male,1,0,Academic
1032,female,29,1,Academic
1033,male,40,3,Academic
1034,male,39,0,Academic
1035,male,68,0,Academic
1036,female,20,28,Academic
1037,male,10,8,Academic
1038,male,84,5,Academic
1039,male,1,5,General
1040,female,35,27,Academic
1041,female,32,5,Academic
1042,female,34,18,Academic
1043,female,40,19,Academic
1044,male,29,9,Academic
1045,male,20,9,Academic
1046,female,27,4,Academic
1047,male,74,2,Academic
1048,male,38,3,Academic
1049,male,21,9,Academic
1050,female,81,20,Academic
1051,male,16,6,Academic
1052,male,59,0,Academic
1053,male,48,27,Academic
1054,female,55,12,Academic
1055,female,4,34,Academic
1056,male,57,1,Academic
1057,male,5,28,General
1058,male,3,8,General
1059,female,23,3,Academic
1060,female,35,2,Academic
1061,male,33,1,Academic
1062,female,27,7,Academic
1063,male,13,4,Academic
1064,male,46,8,Academic
1065,female,30,6,Academic
1066,male,32,16,Academic
1067,female,26,6,General
1068,female,14,4,Academic
1069,female,31,3,Vocational
1070,female,48,5,Academic
1071,male,72,0,Academic
1072,male,79,9,Academic
1073,male,15,0,Vocational
1074,male,24,8,Academic
1075,female,55,0,Vocational
1076,female,13,14,General
1077,male,34,4,Academic
1078,male,67,2,Academic
1079,male,1,35,Academic
1080,female,21,23,Academic
1081,female,33,13,Academic
1082,male,78,6,Academic
1083,female,84,3,General
1084,male,59,6,Academic
1085,male,75,0,Academic
1086,male,22,11,General
1087,female,49,11,Academic
1088,female,13,11,Academic
1089,male,84,4,Vocational
1090,male,27,6,Academic
1091,female,27,23,Academic
