Source,Lot,Wafer,Site,Thickness
1,1,1,1,2006
1,1,1,2,1999
1,1,1,3,2007
1,1,2,1,1980
1,1,2,2,1988
1,1,2,3,1982
1,1,3,1,2000
1,1,3,2,1998
1,1,3,3,2007
1,2,1,1,1991
1,2,1,2,1990
1,2,1,3,1988
1,2,2,1,1987
1,2,2,2,1989
1,2,2,3,1988
1,2,3,1,1985
1,2,3,2,1983
1,2,3,3,1989
1,3,1,1,2000
1,3,1,2,2004
1,3,1,3,2004
1,3,2,1,2001
1,3,2,2,1996
1,3,2,3,2004
1,3,3,1,1999
1,3,3,2,2000
1,3,3,3,2002
1,4,1,1,1997
1,4,1,2,1994
1,4,1,3,1996
1,4,2,1,1996
1,4,2,2,2000
1,4,2,3,2002
1,4,3,1,1987
1,4,3,2,1990
1,4,3,3,1995
2,5,1,1,2013
2,5,1,2,2004
2,5,1,3,2009
2,5,2,1,2023
2,5,2,2,2018
2,5,2,3,2010
2,5,3,1,2020
2,5,3,2,2023
2,5,3,3,2015
2,6,1,1,2032
2,6,1,2,2036
2,6,1,3,2030
2,6,2,1,2018
2,6,2,2,2022
2,6,2,3,2026
2,6,3,1,2009
2,6,3,2,2010
2,6,3,3,2011
2,7,1,1,1984
2,7,1,2,1993
2,7,1,3,1993
2,7,2,1,1992
2,7,2,2,1992
2,7,2,3,1990
2,7,3,1,1996
2,7,3,2,1993
2,7,3,3,1987
2,8,1,1,1996
2,8,1,2,1989
2,8,1,3,1996
2,8,2,1,1997
2,8,2,2,1993
2,8,2,3,1996
2,8,3,1,1990
2,8,3,2,1989
2,8,3,3,1992
