schoolnr,pupilnr,iq_verb,iq_perf,sex,minority,repeatgr,aritpret,classnr,aritpost,langpret,langpost,ses,denomina,schoolses,satiprin,natitest,meetings,currmeet,mixedgra,percmino,aritdiff,homework,classsiz,groupsiz
1.0,1.0,15.0,12.33,0.0,0.0,0.0,14.0,180.0,24.0,36.0,46.0,23.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,2.0,14.5,10.0,0.0,1.0,0.0,12.0,180.0,19.0,36.0,45.0,10.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,3.0,9.5,11.0,0.0,0.0,0.0,10.0,180.0,24.0,33.0,33.0,15.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,4.0,11.0,10.0,0.0,0.0,0.0,13.0,180.0,26.0,29.0,46.0,23.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,5.0,8.0,6.666,0.0,0.0,0.0,8.0,180.0,9.0,19.0,20.0,10.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,6.0,9.5,9.0,0.0,1.0,0.0,8.0,180.0,13.0,22.0,30.0,10.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,7.0,9.5,10.33,0.0,1.0,0.0,7.0,180.0,13.0,20.0,30.0,23.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,8.0,13.0,14.33,0.0,0.0,0.0,17.0,180.0,30.0,44.0,57.0,10.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,9.0,9.5,8.666,0.0,1.0,1.0,10.0,180.0,23.0,34.0,36.0,13.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
1.0,10.0,11.0,15.0,0.0,1.0,0.0,14.0,180.0,22.0,31.0,36.0,15.0,1.0,11.0,3.428,0.0,1.7,1.833,0.0,60.0,12.0,2.333,29.0,29.0
